
"LC5202EW - Highest level of qualification by ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 15 December 2023]"
"Population :","All usual residents aged 16 and over"
"Units      :","Persons"
"Date       :","2011"
"Highest Level of Qualification:","All categories: Highest level of qualification"

"local authority: county / unitary (prior to April 2015)","mnemonic","White: Total","Mixed/multiple ethnic group","Asian/Asian British","Black/African/Caribbean/Black British","Other ethnic group"
"Barking and Dagenham","E09000002",9723,650,7938,9895,509
"Barnet","E09000003",72614,3340,24475,8302,5084
"Bexley","E09000004",27816,710,4405,6780,435
"Brent","E09000005",33362,3078,31324,11019,3836
"Bromley","E09000006",66929,1894,6862,5704,915
"Camden","E09000007",70362,3343,12242,4358,3148
"City of London","E09000001",3845,124,509,65,75
"Croydon","E09000008",47447,3456,19466,18367,1585
"Ealing","E09000009",56870,2743,27539,7480,5204
"Enfield","E09000010",40587,2391,11167,12605,2877
"Greenwich","E09000011",39393,1934,9301,14371,1121
"Hackney","E09000012",57452,3928,6160,11914,2137
"Hammersmith and Fulham","E09000013",58217,2479,7494,4351,3224
"Haringey","E09000014",59464,3082,7824,9649,2708
"Harrow","E09000015",27293,1498,34943,4871,1613
"Havering","E09000016",28752,592,4089,3722,343
"Hillingdon","E09000017",32459,1363,20553,4483,1996
"Hounslow","E09000018",33642,1696,28590,3631,2396
"Islington","E09000019",65262,3493,7222,5492,1807
"Kensington and Chelsea","E09000020",54701,2538,7006,2638,3848
"Kingston upon Thames","E09000021",39972,1276,9679,1271,1584
"Lambeth","E09000022",84255,5400,8150,16157,1796
"Lewisham","E09000023",50476,3638,8454,18733,1826
"Merton","E09000024",45068,1962,12080,5724,1257
"Newham","E09000025",18294,1979,35267,13897,2334
"Redbridge","E09000026",28758,1617,34347,6695,1882
"Richmond upon Thames","E09000027",69801,1704,5834,1023,1222
"Southwark","E09000028",65504,3892,11118,18170,2488
"Sutton","E09000029",32277,1258,8257,3105,878
"Tower Hamlets","E09000030",53383,2922,20963,4356,2051
"Waltham Forest","E09000031",33093,1950,13309,10495,2067
"Wandsworth","E09000032",110451,4154,12500,7668,2369
"Westminster","E09000033",66770,3370,13215,3985,6606



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""







"LC5202EW - Highest level of qualification by ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 15 December 2023]"
"Population :","All usual residents aged 16 and over"
"Units      :","Persons"
"Date       :","2011"
"Highest Level of Qualification:","Apprenticeships and other qualifications"

"local authority: county / unitary (prior to April 2015)","mnemonic","White: Total","Mixed/multiple ethnic group","Asian/Asian British","Black/African/Caribbean/Black British","Other ethnic group"

"Barking and Dagenham","E09000002",9372,380,3606,2487,377
"Barnet","E09000003",21582,1060,7772,1770,2310
"Bexley","E09000004",13616,225,1723,1052,226
"Brent","E09000005",17914,1384,14642,4617,2713
"Bromley","E09000006",16069,391,1602,924,417
"Camden","E09000007",11422,756,3999,1261,1181
"City of London","E09000001",330,13,81,9,30
"Croydon","E09000008",15322,1027,7032,4552,851
"Ealing","E09000009",22001,927,15676,2847,3203
"Enfield","E09000010",17090,895,3701,3498,1814
"Greenwich","E09000011",11951,546,3967,3375,787
"Hackney","E09000012",10456,1024,2678,4479,1527
"Hammersmith and Fulham","E09000013",11657,768,2243,1649,1497
"Haringey","E09000014",16473,1069,3152,3813,1755
"Harrow","E09000015",10827,431,10266,1253,837
"Havering","E09000016",14791,181,1154,537,175
"Hillingdon","E09000017",14655,513,8703,1329,1158
"Hounslow","E09000018",14694,670,12349,1327,1416
"Islington","E09000019",9748,692,2012,1692,1033
"Kensington and Chelsea","E09000020",12330,680,2401,906,1897
"Kingston upon Thames","E09000021",8409,262,3127,252,619
"Lambeth","E09000022",15860,1701,2334,6272,1458
"Lewisham","E09000023",11739,1000,2831,5139,983
"Merton","E09000024",12328,545,4727,1445,623
"Newham","E09000025",14535,1046,17817,4747,1737
"Redbridge","E09000026",10639,447,12562,1395,874
"Richmond upon Thames","E09000027",9285,255,1447,202,453
"Southwark","E09000028",12379,1175,2932,6258,1700
"Sutton","E09000029",10591,273,2323,469,363
"Tower Hamlets","E09000030",10143,611,9168,1434,898
"Waltham Forest","E09000031",16380,730,6660,3327,1739
"Wandsworth","E09000032",16774,859,4390,2345,1015
"Westminster","E09000033",14696,959,4107,1471,3772



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

